Brand,Knife,Steel ,Fe (Iron),C (Carbon),Cr (Chromium),Co (Cobalt),Cu (Copper),Mn (Manganese),Mo (Molybdenum),N (Nickel),Nb (Niobium),N (Nitrogen),Phosphorous (P),Si (Silicon),Sulfur (S),Ti (titanium),W (Tungsten),V (Vanadium),Cuts,Sharperner,Edge angle,Edge finish,Video date,Link,Pete's comments,Count Steel+sharpener,Sharpener,Count Steel+angle,Angle
Spyderco,Para 3,Cru Wear,84.75,1.15,7.50,0.00,0.00,0.35,1.60,0.00,0.00,0.00,0.00,1.10,0.00,0.00,1.15,2.40,300,Factory,18,,2/14/2018,https://www.youtube.com/watch?v=AiCHWQ8hVwY,,1,Factory,1,18
Spyderco,Mule Team,Cru Wear,84.75,1.15,7.50,0.00,0.00,0.35,1.60,0.00,0.00,0.00,0.00,1.10,0.00,0.00,1.15,2.40,400,KME,17,Polished,7/25/2019,https://www.youtube.com/watch?v=91OyDvPu-Rc,,1,KME,3,17
Spyderco,Mule Team,PD1,84.60,1.10,7.75,0.00,0.00,0.25,1.60,0.00,0.00,0.00,0.00,1.20,0.00,0.00,1.10,2.40,550,KME,17,Polished,5/3/2019,https://www.youtube.com/watch?v=erjJTnx9bf8,,1,KME,1,17
Spyderco,Dragonfly II,H1,70.93,0.15,15.00,0.00,0.00,2.00,1.00,7.00,0.00,0.10,0.04,3.75,0.03,0.00,0.00,0.00,42,Worksharp,20,,7/14/2017,https://www.youtube.com/watch?v=3oq7Y4yeI58,,1,Worksharp,1,20
Spyderco,Dragonfly II,H1,70.93,0.15,15.00,0.00,0.00,2.00,1.00,7.00,0.00,0.10,0.04,3.75,0.03,0.00,0.00,0.00,44,Worksharp,20,,7/14/2017,https://www.youtube.com/watch?v=3oq7Y4yeI58,,2,Worksharp,2,20
Spyderco,Dragonfly II,H1,70.93,0.15,15.00,0.00,0.00,2.00,1.00,7.00,0.00,0.10,0.04,3.75,0.03,0.00,0.00,0.00,44,Worksharp,20,,7/14/2017,https://www.youtube.com/watch?v=3oq7Y4yeI58,,3,Worksharp,3,20
Creely Blades,Mako,Nitrobe 77,80.90,0.10,14.50,0.00,0.00,0.00,3.00,0.00,0.50,0.90,0.00,0.00,0.00,0.00,0.00,0.10,225,KME,17,Polished,5/25/2019,https://www.youtube.com/watch?v=iZV6jslLJ6U,,1,KME,1,17
Ka-Bar,BK7,1095 Cro-Van,98.38,1.03,0.05,0.00,0.00,0.04,0.06,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,87,Worksharp,20,,7/4/2017,https://www.youtube.com/watch?v=qPWrqiEQO30,,1,Worksharp,1,20
Boker,Bob Dozier Fixed Blade,CPM D2,85.25,1.55,11.50,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,225,Factory,20,Honed,3/31/2019,https://www.youtube.com/watch?v=s9KtEY6dfIw,,1,Factory,1,20
Boker,Bob Dozier Fixed Blade,CPM D2,85.25,1.55,11.50,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,440,KME,17,Polished,3/31/2019,https://www.youtube.com/watch?v=s9KtEY6dfIw,,1,KME,1,17
Lionsteel,T5,Niolox,83.80,0.80,12.70,0.00,0.00,0.00,1.10,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.90,135,Worksharp,20,,5/26/2017,https://www.youtube.com/watch?v=dG24znf0Q3A,,1,Worksharp,1,20
Ontario,RAT 1,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,120,Worksharp,20,,12/19/2016,https://www.youtube.com/watch?v=t_KHSuwr5vY,,1,Worksharp,1,20
Viper,Keeper,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,67,Worksharp,20,,9/3/2017,https://www.youtube.com/watch?v=TO88OLA76T4,,2,Worksharp,2,20
Viper,Keeper,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,70,Worksharp,20,,9/3/2017,https://www.youtube.com/watch?v=TO88OLA76T4,,3,Worksharp,3,20
